wavelength[nm] rspd_A[-] rspd_D50[-] rspd_D65[-]
300 0.930483 0.019220 0.03410
301 0.967643 0.222348 0.36014
302 1.005970 0.425476 0.68618
303 1.045490 0.628604 1.01222
304 1.086230 0.831732 1.33826
305 1.128210 1.034860 1.66430
306 1.171470 1.237990 1.99034
307 1.216020 1.441120 2.31638
308 1.261880 1.644240 2.64242
309 1.309100 1.847370 2.96846
310 1.357690 2.050500 3.29450
311 1.407680 2.623290 4.98865
312 1.459100 3.196080 6.68280
313 1.511980 3.768870 8.37695
314 1.566330 4.341660 10.0711
315 1.622190 4.914450 11.7652
316 1.679590 5.487240 13.4594
317 1.738550 6.060030 15.1535
318 1.799100 6.632820 16.8477
319 1.861270 7.205610 18.5418
320 1.925080 7.778400 20.2360
321 1.990570 8.475310 21.9177
322 2.057760 9.172220 23.5995
323 2.126670 9.869130 25.2812
324 2.197340 10.56600 26.9630
325 2.269800 11.26300 28.6447
326 2.344060 11.95990 30.3265
327 2.420170 12.65680 32.0082
328 2.498140 13.35370 33.6900
329 2.578010 14.05060 35.3717
330 2.659810 14.74750 37.0535
331 2.743550 15.06760 37.3430
332 2.829280 15.38760 37.6326
333 2.917010 15.70760 37.9221
334 3.006780 16.02770 38.2116
335 3.098610 16.34780 38.5011
336 3.192530 16.66780 38.7907
337 3.288570 16.98780 39.0802
338 3.386760 17.30790 39.3697
339 3.487120 17.62800 39.6593
340 3.589680 17.94800 39.9488
341 3.694470 18.25420 40.4451
342 3.801520 18.56030 40.9414
343 3.910850 18.86650 41.4377
344 4.022500 19.17270 41.9340
345 4.136480 19.47880 42.4302
346 4.252820 19.78500 42.9265
347 4.371560 20.09120 43.4228
348 4.492720 20.39740 43.9191
349 4.616310 20.70350 44.4154
350 4.742380 21.00970 44.9117
351 4.870950 21.30290 45.0844
352 5.002040 21.59610 45.2570
353 5.135680 21.88940 45.4297
354 5.271890 22.18260 45.6023
355 5.410700 22.47580 45.7750
356 5.552130 22.76900 45.9477
357 5.696220 23.06220 46.1203
358 5.842980 23.35550 46.2930
359 5.992440 23.64870 46.4656
360 6.144620 23.94190 46.6383
361 6.299550 24.24380 47.1834
362 6.457240 24.54570 47.7285
363 6.617740 24.84750 48.2735
364 6.781050 25.14940 48.8186
365 6.947200 25.45130 49.3637
366 7.116210 25.75320 49.9088
367 7.288110 26.05510 50.4539
368 7.462920 26.35690 50.9989
369 7.640660 26.65880 51.5440
370 7.821350 26.96070 52.0891
371 8.005010 26.71340 51.8777
372 8.191670 26.46610 51.6664
373 8.381340 26.21870 51.4550
374 8.574040 25.97140 51.2437
375 8.769800 25.72410 51.0323
376 8.968640 25.47680 50.8209
377 9.170560 25.22950 50.6096
378 9.375610 24.98210 50.3982
379 9.583780 24.73480 50.1869
380 9.795100 24.48750 49.9755
381 10.00960 25.02580 50.4428
382 10.22730 25.56410 50.9100
383 10.44810 26.10240 51.3773
384 10.67220 26.64070 51.8446
