wavelength rspd_D55[-] rspd_D75[-]
300 0.02400 0.04300
305 1.04800 2.58800
310 2.07200 5.13300
315 6.64800 17.4700
320 11.2240 29.8080
325 15.9360 42.3690
330 20.6470 54.9300
335 22.2660 56.0950
340 23.8850 57.2590
345 25.8510 60.0000
350 27.8170 62.7400
355 29.2190 62.8610
360 30.6210 62.9820
365 32.4640 66.6470
370 34.3080 70.3120
375 33.4460 68.5070
380 32.5840 66.7030
385 35.3350 68.3330
390 38.0870 69.9630
395 49.5180 85.9460
400 60.9490 101.929
405 64.7510 106.911
410 68.5540 111.894
415 70.0650 112.346
420 71.5770 112.798
425 69.7460 107.945
430 67.9140 103.092
435 76.7600 112.145
440 85.6050 121.198
445 91.7990 127.104
450 97.9930 133.010
455 99.2280 132.682
460 100.463 132.355
465 100.188 129.838
470 99.9130 127.322
475 101.326 127.061
480 102.739 126.800
485 100.409 122.291
490 98.0780 117.783
495 99.3790 117.186
500 100.680 116.589
505 100.688 115.146
510 100.695 113.702
515 100.341 111.181
520 99.9870 108.659
525 102.098 109.552
530 104.210 110.445
535 103.156 108.367
540 102.102 106.289
545 102.535 105.596
550 102.968 104.904
555 101.484 102.452
560 100.000 100.000
565 98.6080 97.8080
570 97.2160 95.6160
575 97.4820 94.9140
580 97.7490 94.2130
585 94.5900 90.6050
590 91.4320 86.9970
595 92.9260 87.1120
600 94.4190 87.2270
605 94.7800 86.6840
610 95.1400 86.1400
615 94.6800 84.8610
620 94.2200 83.5810
625 92.3340 81.1640
630 90.4480 78.7470
635 91.3890 78.5870
640 92.3300 78.4280
645 90.5920 76.6140
650 88.8540 74.8010
655 89.5860 74.5620
660 90.3170 74.3240
665 92.1330 74.8730
670 93.9500 75.4220
675 91.9530 73.4990
680 89.9560 71.5760
685 84.8170 67.7140
690 79.6770 63.8520
695 81.2580 64.4640
700 82.8400 65.0760
705 83.8420 66.5730
710 84.8440 68.0700
715 77.5390 62.2560
720 70.2350 56.4430
725 74.7680 60.3430
730 79.3010 64.2420
735 82.1470 66.6970
740 84.9930 69.1510
745 78.4370 63.8900
750 71.8800 58.6290
755 62.3370 50.6230
760 52.7930 42.6170
765 64.3600 51.9850
770 75.9270 61.3520
775 73.8720 59.8380
780 71.8180 58.3240
