Lab_group Forehead Cheek Back_of_hand Inner_arm All
L*_Caucasians 59.2 59.6 60.1 63.0 60.5
a*_Caucasians 11.6 11.8 7.40 5.60 9.00
b*_Caucasians 15.1 14.6 14.7 14.0 14.6
std_L*_Caucasians 5.1 5.5 5.5 5.5 5.6
std_a*_Caucasians 2.8 3.1 1.9 1.9 3.6
std_b*_Caucasians 2.3 2.6 2.4 2.9 2.6
L*_Chinese 56.4 58.9 57.9 60.9 58.5
a*_Chinese 11.7 11.4 9.30 7.00 9.80
b*_Chinese 16.3 14.2 16.1 15.0 15.4
std_L*_Chinese 3.2 3.1 3.5 3.4 3.7
std_a*_Chinese 2.1 2.1 1.9 1.7 2.7
std_b*_Chinese 1.4 1.5 1.6 1.8 1.8
L*_Kurdish 56.1 58.0 57.3 60.6 58.0
a*_Kurdish 11.3 11.7 8.60 6.50 9.50
b*_Kurdish 16.4 15.8 16.5 16.4 16.2
std_L*_Kurdish 4.5 4.4 5.5 4.8 5.1
std_a*_Kurdish 2.1 2.3 1.9 1.6 2.9
std_b*_Kurdish 2.2 2.1 1.9 2.3 2.2
L*_Thai 56.8 60.7 57.6 61.9 59.3
a*_Thai 11.6 10.5 9.40 7.10 9.70
b*_Thai 17.7 17.2 19.0 17.4 17.9
std_L*_Thai 4.1 4.0 4.5 3.7 4.6
std_a*_Thai 2.2 2.3 1.7 1.7 2.6
std_b*_Thai 1.8 2.1 1.8 2.0 2.1
