wavelength rspd_C[-] rspd_D55[-] rspd_D75[-]
300 0.00 0.02400 0.04300
305 0.00 1.04800 2.58800
310 0.00 2.07200 5.13300
315 0.00 6.64800 17.4700
320 0.01 11.2240 29.8080
325 0.20 15.9360 42.3690
330 0.40 20.6470 54.9300
335 1.55 22.2660 56.0950
340 2.70 23.8850 57.2590
345 4.85 25.8510 60.0000
350 7.00 27.8170 62.7400
355 9.95 29.2190 62.8610
360 12.90 30.6210 62.9820
365 17.20 32.4640 66.6470
370 21.40 34.3080 70.3120
375 27.50 33.4460 68.5070
380 33.00 32.5840 66.7030
385 39.92 35.3350 68.3330
390 47.40 38.0870 69.9630
395 55.17 49.5180 85.9460
400 63.30 60.9490 101.929
405 71.81 64.7510 106.911
410 80.60 68.5540 111.894
415 89.53 70.0650 112.346
420 98.10 71.5770 112.798
425 105.80 69.7460 107.945
430 112.40 67.9140 103.092
435 117.75 76.7600 112.145
440 121.50 85.6050 121.198
445 123.45 91.7990 127.104
450 124.00 97.9930 133.010
455 123.60 99.2280 132.682
460 123.10 100.463 132.355
465 123.30 100.188 129.838
470 123.80 99.9130 127.322
475 124.09 101.326 127.061
480 123.90 102.739 126.800
485 122.92 100.409 122.291
490 120.70 98.0780 117.783
495 116.90 99.3790 117.186
500 112.10 100.680 116.589
505 106.98 100.688 115.146
510 102.30 100.695 113.702
515 98.81 100.341 111.181
520 96.90 99.9870 108.659
525 96.78 102.098 109.552
530 98.00 104.210 110.445
535 99.94 103.156 108.367
540 102.10 102.102 106.289
545 103.95 102.535 105.596
550 105.20 102.968 104.904
555 105.67 101.484 102.452
560 105.30 100.000 100.000
565 104.11 98.6080 97.8080
570 102.30 97.2160 95.6160
575 100.15 97.4820 94.9140
580 97.80 97.7490 94.2130
585 95.43 94.5900 90.6050
590 93.20 91.4320 86.9970
595 91.22 92.9260 87.1120
600 89.70 94.4190 87.2270
605 88.83 94.7800 86.6840
610 88.40 95.1400 86.1400
615 88.19 94.6800 84.8610
620 88.10 94.2200 83.5810
625 88.06 92.3340 81.1640
630 88.00 90.4480 78.7470
635 87.86 91.3890 78.5870
640 87.80 92.3300 78.4280
645 87.99 90.5920 76.6140
650 88.20 88.8540 74.8010
655 88.20 89.5860 74.5620
660 87.90 90.3170 74.3240
665 87.22 92.1330 74.8730
670 86.30 93.9500 75.4220
675 85.30 91.9530 73.4990
680 84.00 89.9560 71.5760
685 82.21 84.8170 67.7140
690 80.20 79.6770 63.8520
695 78.24 81.2580 64.4640
700 76.30 82.8400 65.0760
705 74.36 83.8420 66.5730
710 72.40 84.8440 68.0700
715 70.40 77.5390 62.2560
720 68.30 70.2350 56.4430
725 66.30 74.7680 60.3430
730 64.40 79.3010 64.2420
735 62.80 82.1470 66.6970
740 61.50 84.9930 69.1510
745 60.20 78.4370 63.8900
750 59.20 71.8800 58.6290
755 58.50 62.3370 50.6230
760 58.10 52.7930 42.6170
765 58.00 64.3600 51.9850
770 58.20 75.9270 61.3520
775 58.50 73.8720 59.8380
780 59.10 71.8180 58.324
