wavelength[nm] beta[dL/g]
250 0.002210
255 0.002155
260 0.002105
265 0.002069
270 0.002048
275 0.002042
280 0.002044
285 0.002047
290 0.002047
295 0.002037
300 0.002020
305 0.001999
310 0.001998
320 0.002007
330 0.002021
340 0.002010
350 0.001989
355 0.001985
360 0.001983
365 0.001912
370 0.001860
375 0.001816
380 0.001774
385 0.001732
390 0.001694
395 0.001668
400 0.001664
405 0.001701
410 0.001799
415 0.001985
420 0.002117
425 0.002195
430 0.002273
435 0.002227
440 0.002210
445 0.002184
450 0.002156
455 0.002131
460 0.002109
465 0.002092
470 0.002078
475 0.002067
480 0.002056
485 0.002045
490 0.002033
495 0.002019
500 0.002005
510 0.002009
520 0.001983
530 0.001966
540 0.001981
550 0.001998
560 0.001992
570 0.001988
580 0.002004
590 0.002015
600 0.001988
610 0.001967
620 0.001964
630 0.001960
640 0.001954
660 0.001958
680 0.001970
700 0.001992
720 0.001979
740 0.001955
760 0.001958
780 0.001960
800 0.001939
820 0.001920
840 0.001935
860 0.001951
880 0.001982
900 0.001998
920 0.002011
940 0.002015
960 0.002021
980 0.002017
1000 0.002052
1020 0.002049
1040 0.002044
1060 0.002040
1080 0.002044
1100 0.002056
