wavelength[nm] k[-] n[-]
200 1.1E-7 1.396
225 4.9E-8 1.373
250 3.35E-8 1.362
275 2.35E-8 1.354
300 1.6E-8 1.349
325 1.08E-8 1.346
350 6.5E-9 1.343
375 3.5E-9 1.341
400 1.86E-9 1.339
425 1.3E-9 1.338
450 1.02E-9 1.337
475 9.35E-10 1.336
500 1.00E-9 1.335
525 1.32E-9 1.334
550 1.96E-9 1.333
575 3.60E-9 1.333
600 1.09E-8 1.332
625 1.39E-8 1.332
650 1.64E-8 1.331
675 2.23E-8 1.331
700 3.35E-8 1.331
725 9.15E-8 1.33
750 1.56E-7 1.33
775 1.48E-7 1.33
800 1.25E-7 1.329
825 1.82E-7 1.329
850 2.93E-7 1.329
875 3.91E-7 1.328
900 4.86E-7 1.328
925 1.06E-6 1.328
950 2.93E-6 1.327
975 3.48E-6 1.327
1000 2.89E-6 1.327
1200 9.89E-6 1.324
1400 1.38E-4 1.321
1600 8.55E-5 1.317
1800 1.15E-4 1.312
2000 1.1E-3 1.306
2200 2.89E-4 1.296
2400 9.56E-4 1.279
2600 3.17E-3 1.242
2650 6.7E-3 1.219
2700 0.019 1.188
2750 0.059 1.157
2800 0.115 1.142
2850 0.185 1.149
2900 0.268 1.201
2950 0.298 1.292
3000 0.272 1.371
3050 0.24 1.426
3100 0.192 1.467
3150 0.135 1.483
3200 0.0924 1.478
3250 0.061 1.467
3300 0.0368 1.45
3350 0.0261 1.432
3400 0.0195 1.42
3450 0.0132 1.41
3500 0.0094 1.4
3600 0.00515 1.385
3700 0.0036 1.374
3800 0.0034 1.364
3900 0.0038 1.357
4000 0.0046 1.351
4100 0.00562 1.346
4200 0.00688 1.342
4300 0.00845 1.338
4400 0.0103 1.334
4500 0.0134 1.332
4600 0.0147 1.33
4700 0.0157 1.33
4800 0.015 1.33
4900 0.0137 1.328
5000 0.0124 1.325
5100 0.0111 1.322
5200 0.0101 1.317
5300 0.0098 1.312
5400 0.0103 1.305
5500 0.0116 1.298
5600 0.0142 1.289
5700 0.0203 1.277
5800 0.033 1.262
5900 0.0622 1.248
6000 0.107 1.265
6100 0.131 1.319
6200 0.088 1.363
6300 0.057 1.357
6400 0.0449 1.347
6500 0.0392 1.339
6600 0.0356 1.334
6700 0.0337 1.329
6800 0.0327 1.324
6900 0.0322 1.321
7000 0.032 1.317
7100 0.032 1.314
7200 0.0321 1.312
7300 0.0322 1.309
7400 0.0324 1.307
7500 0.0326 1.304
7600 0.0328 1.302
7700 0.0331 1.299
7800 0.0335 1.297
7900 0.0339 1.294
8000 0.0343 1.291
8200 0.0351 1.286
8400 0.0361 1.281
8600 0.0372 1.275
8800 0.0385 1.269
9000 0.0399 1.262
9200 0.0415 1.255
9400 0.0433 1.247
9600 0.0454 1.239
9800 0.0479 1.229
10000 0.0508 1.218
10500 0.0662 1.185
11000 0.0968 1.153
11500 0.142 1.126
12000 0.199 1.111
12500 0.259 1.123
13000 0.305 1.146
13500 0.343 1.177
14000 0.37 1.21
14500 0.388 1.241
15000 0.402 1.27
15500 0.414 1.297
16000 0.422 1.325
16500 0.428 1.351
17000 0.429 1.376
17500 0.429 1.401
18000 0.426 1.423
18500 0.421 1.443
19000 0.414 1.461
19500 0.404 1.476
20000 0.393 1.48
21000 0.382 1.487
22000 0.373 1.5
23000 0.367 1.511
24000 0.361 1.521
25000 0.356 1.531
26000 0.35 1.539
27000 0.344 1.545
28000 0.338 1.549
29000 0.333 1.551
30000 0.328 1.551
32000 0.324 1.546
34000 0.329 1.536
36000 0.343 1.527
38000 0.361 1.522
40000 0.385 1.519
42000 0.409 1.522
44000 0.436 1.53
46000 0.462 1.541
48000 0.488 1.555
50000 0.514 1.587
60000 0.587 1.703
70000 0.576 1.821
80000 0.547 1.886
90000 0.536 1.924
100000 0.532 1.957
110000 0.531 1.966
120000 0.526 2.004
130000 0.514 2.036
140000 0.5 2.056
150000 0.495 2.069
160000 0.496 2.081
170000 0.497 2.094
180000 0.499 2.107
190000 0.501 2.119
200000 0.504 2.13
